,w0,h0
0,265,59
1,262,101
2,203,130
3,155,252
4,320,163
5,833,15
6,598,159
7,874,312
8,855,335
9,893,414
10,911,415
11,929,510
12,897,570
13,936,616
14,908,655
15,967,674
16,100,36
17,213,19
18,36,75
19,39,118
20,47,136
21,91,162
22,42,188
23,128,224
24,63,266
25,193,244
26,281,264
27,226,165
28,297,194
29,481,167
30,433,251
31,527,120
32,513,160
33,526,198
34,472,279
35,449,265
36,569,281
37,649,258
38,677,281
39,663,9
40,744,98
41,761,103
42,765,159
43,103,147
44,230,224
45,419,159
46,641,187
47,889,56
48,820,268
49,974,745
50,332,72
51,349,188
52,425,155
53,456,148
54,38,513
55,660,221
56,596,224
57,395,109
58,474,41
59,420,77
60,362,123
61,426,259
62,197,226
63,865,731
64,950,714
65,626,220
66,38,116
67,77,170
68,78,305
69,463,150
70,483,172
71,513,180
72,606,254
73,848,226
74,862,211
75,985,644
76,352,104
77,412,97
78,379,166
79,269,189
80,291,250
81,612,223
82,524,268
83,572,276
84,56,156
85,167,94
86,492,85
87,264,223
88,403,114
89,25,374
90,958,575
91,272,171
92,109,230
93,61,195
94,445,155
95,602,64
96,930,162
97,237,262
98,881,342
99,162,171
