,w0,h0
0,171,348
1,256,400
2,312,411
3,303,432
4,505,320
5,525,421
6,611,383
7,660,452
8,314,537
9,356,523
10,406,507
11,436,499
12,493,503
13,591,575
14,574,605
15,717,598
16,477,643
17,661,655
18,686,687
19,239,717
20,530,713
21,137,755
22,168,763
23,332,756
24,350,760
25,581,816
26,707,848
27,117,812
28,690,881
29,208,360
30,357,349
31,446,328
32,624,385
33,142,428
34,154,450
35,126,481
36,144,484
37,351,444
38,387,426
39,759,595
40,463,674
41,727,666
42,782,653
43,770,701
44,143,730
45,419,727
46,486,732
47,546,730
48,565,724
49,561,739
50,323,782
51,272,844
52,797,819
53,475,920
54,553,375
55,592,413
56,675,411
57,214,471
58,582,493
59,645,506
60,744,472
61,322,538
62,664,535
63,783,513
64,510,592
65,734,662
66,215,794
67,531,795
68,702,751
69,273,862
70,320,853
71,512,819
72,556,814
73,599,827
74,680,795
75,722,809
76,788,781
77,148,875
78,729,848
79,790,839
80,750,878
81,120,346
82,159,353
83,728,337
84,506,393
85,408,463
86,458,489
87,637,468
88,566,515
89,600,525
90,630,517
91,646,501
92,330,586
93,752,605
94,410,631
95,602,632
96,223,722
97,448,710
98,452,733
99,395,755
